,확인용,적요,적요일련번호,금융회사,입출금구분,데이터셋출처,출처번호,적요구조,적요구조일련번호,적요 설명,거래코드,분류,분류번호,최소금액,최대금액,단어,단어일련번호,단어의미,개체명,완료여부,적요_pre,적요길이,적요반대_pre
62409,41580,강용복회계사무소,13490,우리은행,출금,우리은행,F020,회사명,,,CMS공동망 출금이체,전문서비스,EC02,0,198000,,,,,,강용복회계사무소,8,소무사계회복용강
65206,68649,손대성회계사무소,37017,우리은행,출금,우리은행,F020,자동입력,,,CMS공동망 당일출금이체-전자금융팀,전문서비스,EC02,0,77000,,,,,,손대성회계사무소,8,소무사계회성대손
65589,70448,신용우회계사무소,38560,우리은행,출금,우리은행,F020,자동입력,,,CMS공동망 당일출금이체-전자금융팀,전문서비스,EC02,110000,110000,,,,,,신용우회계사무소,8,소무사계회우용신
62962,51661,김융회계사무소,22074,우리은행,출금,우리은행,F020,자동입력,,,CMS공동망 출금이체,전문서비스,EC02,0,0,,,,,,김융회계사무소,7,소무사계회융김
63240,58291,다인회계사무소,27947,우리은행,출금,우리은행,F020,자동입력,,,CMS공동망 출금이체,전문서비스,EC02,110000,110000,,,,,,다인회계사무소,7,소무사계회인다
62819,47292,권해호회계사무소,18448,우리은행,출금,우리은행,F020,자동입력,,,CMS공동망 출금이체,전문서비스,EC02,55000,110000,,,,,,권해호회계사무소,8,소무사계회호해권
62940,50068,김두남사무소,20878,우리은행,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,77000,77000,,,,,,김두남사무소,6,소무사남두김
46829,14991,태양법률사무소,10362,,입금,우리은행,F020,회사명,,,인터넷뱅킹 대량이체,회사입금,DC02,48000,149000,,,,,,태양법률사무소,7,소무사률법양태
43946,3403,가흥현대관리사무소,1950,,입금,우리은행,F020,회사명,,,급여 입금이체,회사입금,DC02,1944000,1944000,,,,,,가흥현대관리사무소,9,소무사리관대현흥가
46968,16014,하안 단지관리사무소,11146,,입금,우리은행,F020,회사명,,,급여 입금이체,회사입금,DC02,3342000,3342000,,,,,,하안 단지관리사무소,9,소무사리관지단 안하
61136,10012,수정아파트관리사무소,6761,우리은행,입금,우리은행,F020,자동입력,,,일반대외대량 입금이체,기타소득,DA06,0,0,,,,,,수정아파트관리사무소,10,소무사리관트파아정수
62931,49497,김경수세무사무소,20421,우리은행,출금,우리은행,F020,자동입력,,,CMS공동망 출금이체,전문서비스,EC02,88000,88000,,,,,,김경수세무사무소,8,소무사무세수경김
62974,52450,김철용세무사무소,22674,우리은행,출금,우리은행,F020,자동입력,,,CMS공동망 출금이체,전문서비스,EC02,77000,77000,,,,,,김철용세무사무소,8,소무사무세용철김
65595,70465,신우세무사무소,38576,우리은행,출금,우리은행,F020,자동입력,,,CMS공동망 출금이체,전문서비스,EC02,55000,110000,,,,,,신우세무사무소,7,소무사무세우신
62980,52730,김헌효세무사무소,22906,우리은행,출금,우리은행,F020,자동입력,,,CMS공동망 출금이체,전문서비스,EC02,220000,220000,,,,,,김헌효세무사무소,8,소무사무세효헌김
63061,53503,남상범사무소,23525,우리은행,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,99000,99000,,,,,,남상범사무소,6,소무사범상남
44519,7171,동부사무소,4889,,입금,우리은행,F020,회사명,,,지로대량급여 입금이체,회사입금,DC02,3578000,3578000,,,,,,동부사무소,5,소무사부동
46592,14101,중부사무소,9745,,입금,우리은행,F020,회사명,,,지로대량급여 입금이체,회사입금,DC02,0,0,,,,,,중부사무소,5,소무사부중
45439,10870,씨엘에스관세사무소,7476,,입금,우리은행,F020,회사명,,,인터넷뱅킹 대량이체,회사입금,DC02,5269000,5269000,,,,,,씨엘에스관세사무소,9,소무사세관스에엘씨
65081,67354,성치영사무소,35762,우리은행,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,0,0,,,,,,성치영사무소,6,소무사영치성
65052,67241,성승제사무소,35660,우리은행,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,77000,132000,,,,,,성승제사무소,6,소무사제승성
44325,6630,다원건축사무소,4423,,입금,우리은행,F020,회사명,,,전자뱅킹예약건별이체,회사입금,DC02,0,0,,,,,,다원건축사무소,7,소무사축건원다
64334,63933,배진석세무소,32756,우리은행,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,110000,110000,,,,,,배진석세무소,6,소무세석진배
62951,51189,김연식세무소,21719,우리은행,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,110000,110000,,,,,,김연식세무소,6,소무세식연김
64116,60930,문천오세무소,30313,우리은행,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,110000,110000,,,,,,문천오세무소,6,소무세오천문
48875,61275,미소,30564,,출금,우리은행,F020,회사명,,,펌뱅킹 출금이체,회사출금,EI05,0,17000,,,,,,미소,2,소미
48728,59877,롯데미소,29397,,출금,우리은행,F020,회사명,,,CMS공동망 출금이체,회사출금,EI05,293000,595000,,,,,,롯데미소,4,소미데롯
59618,65772,삼성미소,34377,,출금,우리은행,F020,자동입력,,,CMS공동망 출금이체,대출금상환,EA03,0,595000,,,,,,삼성미소,4,소미성삼
64647,65660,살레시오와꿈성소,34292,우리은행,출금,우리은행,F020,직접입력,,,CMS공동망 출금이체,기타출금,EH04,30000,30000,,,,,,살레시오와꿈성소,8,소성꿈와오시레살
51834,53105,꾸르실료해외성소,23175,,출금,우리은행,F020,자동입력,,,CMS공동망 출금이체,기부,EI01,0,10000,,,,,,꾸르실료해외성소,8,소성외해료실르꾸
64536,65185,비오티수학교습소,33846,우리은행,출금,우리은행,F020,직접입력,,,CMS공동망 출금이체,교육비,EF01,20000,194000,,,,,,비오티수학교습소,8,소습교학수티오비
64723,65991,상하수도사업소,34544,우리은행,출금,우리은행,F020,직접입력,,,지로 출금이체,세금/공과금,EB01,0,173000,,,,,,상하수도사업소,7,소업사도수하상
44020,3631,경기주유소,2094,,입금,우리은행,F020,회사명,,,전자금융 자금집금,회사입금,DC02,1358000,4439000,,,,,,경기주유소,5,소유주기경
61407,12121,원산주유소,8402,우리은행,입금,우리은행,F020,자동입력,,,전자금융 자금집금,환급/환불,DC09,192000,322000,,,,,,원산주유소,5,소유주산원
43979,3505,강상주유소,2012,,입금,우리은행,F020,회사명,,,전자금융 자금집금,회사입금,DC02,2910000,3186000,,,,,,강상주유소,5,소유주상강
44425,6986,대한상공회의소,4743,,입금,우리은행,F020,회사명,,,인터넷뱅킹 대량이체,회사입금,DC02,0,24000,,,,,,대한상공회의소,7,소의회공상한대
63178,54130,농어업회의소,24091,우리은행,출금,우리은행,F020,직접입력,,,CMS공동망 출금이체,회비,EB07,0,50000,,,,,,농어업회의소,6,소의회업어농
49234,66102,샘톡（제이소,34649,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,회사출금,EI05,33000,33000,,,,,,샘톡（제이소,6,소이제（톡샘
52615,64546,복음화발전소,33269,,출금,우리은행,F020,자동입력,,,CMS공동망 출금이체,기부,EI01,0,50000,,,,,,복음화발전소,6,소전발화음복
46904,15282,평안에너지상계충전소,10589,,입금,우리은행,F020,회사명,,,일반대외대량 입금이체,회사입금,DC02,0,43000,,,,,,평안에너지상계충전소,10,소전충계상지너에안평
44397,6874,대영가스충전소,4642,,입금,우리은행,F020,회사명,,,급여 입금이체,회사입금,DC02,24000,24000,,,,,,대영가스충전소,7,소전충스가영대
