,확인용,적요,적요일련번호,금융회사,입출금구분,데이터셋출처,출처번호,적요구조,적요구조일련번호,적요 설명,거래코드,분류,분류번호,최소금액,최대금액,단어,단어일련번호,단어의미,개체명,완료여부,적요_pre,적요길이,적요반대_pre
4842,5060,급여엘케이이엔씨,3231,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,1000,1000,,,,,,급여엘케이이엔씨,8,씨엔이이케엘여급
4844,5061,급여엠디엠자산운용,3232,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,50000,96000,,,,,,급여엠디엠자산운용,9,용운산자엠디엠여급
4846,5062,급여엠에이치앤코,3233,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,118000,10160000,,,,,,급여엠에이치앤코,8,코앤치이에엠여급
4848,5063,급여여지티에스,3234,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,1588000,1588000,,,,,,급여여지티에스,7,스에티지여여급
4850,5064,급여연차수당,3235,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,2575000,2575000,,,,,,급여연차수당,6,당수차연여급
4852,5065,급여영등포구시설관리,3236,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,0,2617000,,,,,,급여영등포구시설관리,10,리관설시구포등영여급
4854,5066,급여예인학원,3237,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,2031000,2031000,,,,,,급여예인학원,6,원학인예여급
4858,5068,급여외복리후생,3239,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,100000,100000,,,,,,급여외복리후생,7,생후리복외여급
4860,5070,급여우리금융캐피탈,3240,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,0,9798000,,,,,,급여우리금융캐피탈,9,탈피캐융금리우여급
4862,5071,급여우진텔레콤,3241,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,2679000,2679000,,,,,,급여우진텔레콤,7,콤레텔진우여급
4864,5072,급여웅진씽크빅,3242,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,0,6202000,,,,,,급여웅진씽크빅,7,빅크씽진웅여급
