index,확인용,입출금구분,거래코드,적요,최소금액,최대금액,대분류,분류,적요일련번호,금융회사,데이터셋출처,출처번호,적요구조,적요구조일련번호,적요 설명,분류번호,단어,단어일련번호,단어의미,개체명,완료여부,적요_pre,적요길이,적요반대_pre
3322,3322,입금,인터넷뱅킹 대량이체,㈜햇빛가득찬, - , - ,입금이체,회사입금,,,,,,,,,,,,,,㈜햇빛가득찬,6,찬득가빛햇㈜
3324,3324,입금,인터넷뱅킹 대량이체,㈜현대금융,"105,000","105,000",입금이체,회사입금,,,,,,,,,,,,,,㈜현대금융,5,융금대현㈜
3325,3325,입금,인터넷뱅킹 대량이체,㈜현대해운, - ,"3,862,000",입금이체,회사입금,,,,,,,,,,,,,,㈜현대해운,5,운해대현㈜
3326,3326,입금,인터넷뱅킹 대량이체,㈜현테크,"1,740,000","1,740,000",입금이체,회사입금,,,,,,,,,,,,,,㈜현테크,4,크테현㈜
3327,3327,입금,인터넷뱅킹 대량이체,㈜협신통운,"473,000","473,000",입금이체,회사입금,,,,,,,,,,,,,,㈜협신통운,5,운통신협㈜
3328,3328,입금,인터넷뱅킹 대량이체,㈜홈델리,"160,000","160,000",입금이체,회사입금,,,,,,,,,,,,,,㈜홈델리,4,리델홈㈜
3329,3329,입금,인터넷뱅킹 대량이체,㈜홍익,"2,751,000","2,751,000",입금이체,회사입금,,,,,,,,,,,,,,㈜홍익,3,익홍㈜
3330,3330,입금,인터넷뱅킹 대량이체,㈜화승케미칼, - ,"4,482,000",입금이체,회사입금,,,,,,,,,,,,,,㈜화승케미칼,6,칼미케승화㈜
3333,3333,입금,인터넷뱅킹 대량이체,㈜화영유통,"2,022,000","3,103,000",입금이체,회사입금,,,,,,,,,,,,,,㈜화영유통,5,통유영화㈜
3334,3334,입금,인터넷뱅킹 대량이체,㈜화인대상,"2,165,000","2,165,000",입금이체,회사입금,,,,,,,,,,,,,,㈜화인대상,5,상대인화㈜
3335,3335,입금,인터넷뱅킹 대량이체,㈜화인씨앤엠,"4,049,000","4,049,000",입금이체,회사입금,,,,,,,,,,,,,,㈜화인씨앤엠,6,엠앤씨인화㈜
3336,3336,입금,인터넷뱅킹 대량이체,㈜후케어스코리아,"90,000","90,000",입금이체,회사입금,,,,,,,,,,,,,,㈜후케어스코리아,8,아리코스어케후㈜
3337,3337,입금,인터넷뱅킹 대량이체,㈜휴먼메이드,"200,000","200,000",입금이체,회사입금,,,,,,,,,,,,,,㈜휴먼메이드,6,드이메먼휴㈜
3338,3338,입금,인터넷뱅킹 대량이체,㈜휴먼인러브,"6,586,000","6,586,000",입금이체,회사입금,,,,,,,,,,,,,,㈜휴먼인러브,6,브러인먼휴㈜
3339,3339,입금,인터넷뱅킹 대량이체,㈜휴먼컴퍼지트, - ,"3,543,000",입금이체,회사입금,,,,,,,,,,,,,,㈜휴먼컴퍼지트,7,트지퍼컴먼휴㈜
3340,3340,입금,인터넷뱅킹 대량이체,㈜흥국에프엔비, - ,"56,000",입금이체,회사입금,,,,,,,,,,,,,,㈜흥국에프엔비,7,비엔프에국흥㈜
3341,3341,입금,인터넷뱅킹 대량이체,㈜흥화　연차수당,"1,509,000","1,509,000",입금이체,복리후생비/경비,,,,,,,,,,,,,,㈜흥화0연차수당,8,당수차연0화흥㈜
3343,3343,입금,인터넷뱅킹 대량이체,㈜ＧＣＳ,"1,396,000","1,396,000",입금이체,회사입금,,,,,,,,,,,,,,㈜ＧＣＳ,4,ＳＣＧ㈜
3344,3344,입금,인터넷뱅킹 대량이체,㈜ＨＮＳ,"5,993,000","5,993,000",입금이체,회사입금,,,,,,,,,,,,,,㈜ＨＮＳ,4,ＳＮＨ㈜
3346,3346,입금,인터넷뱅킹 대량이체,㈜ＭＶＭ, - ,"3,754,000",입금이체,회사입금,,,,,,,,,,,,,,㈜ＭＶＭ,4,ＭＶＭ㈜
3349,3349,입금,인터넷뱅킹 대량이체,㈜ＴＫＣ무공　ＰＡＤ,"18,501,000","18,501,000",입금이체,회사입금,,,,,,,,,,,,,,㈜ＴＫＣ무공0ＰＡＤ,10,ＤＡＰ0공무ＣＫＴ㈜
3350,3350,입금,인터넷뱅킹 대량이체,㈜ＴＫＣ무선통신비,"71,000","71,000",입금이체,생활비입금,,,,,,,,,,,,,,㈜ＴＫＣ무선통신비,9,비신통선무ＣＫＴ㈜
3351,3351,입금,인터넷뱅킹 대량이체,㈜ＴＫＣ생활안정지원,"20,000,000","20,000,000",입금이체,지원금/장학금,,,,,,,,,,,,,,㈜ＴＫＣ생활안정지원,10,원지정안활생ＣＫＴ㈜
3353,3353,입금,인터넷뱅킹 대량이체,㈜ＴＫＣ주차비,"13,000","13,000",입금이체,생활비입금,,,,,,,,,,,,,,㈜ＴＫＣ주차비,7,비차주ＣＫＴ㈜
3354,3354,입금,인터넷뱅킹 대량이체,㈜ＴＫＣ진료비,"1,021,000","1,021,000",입금이체,생활비입금,,,,,,,,,,,,,,㈜ＴＫＣ진료비,7,비료진ＣＫＴ㈜
3355,3355,입금,인터넷뱅킹 대량이체,㈜ＴＫＣ차량보조금,"728,000","728,000",입금이체,생활비입금,,,,,,,,,,,,,,㈜ＴＫＣ차량보조금,9,금조보량차ＣＫＴ㈜
3356,3356,입금,인터넷뱅킹 대량이체,㈜ＴＫＣ－ 월　도급, - ,"125,478,000",소득,기타소득,,,,,,,,,,,,,,㈜ＴＫＣ－0월0도급,9,급도0월0－ＣＫＴ㈜
