index,확인용,입출금구분,거래코드,적요,최소금액,최대금액,대분류,분류,적요일련번호,금융회사,데이터셋출처,출처번호,적요구조,적요구조일련번호,적요 설명,분류번호,단어,단어일련번호,단어의미,개체명,완료여부,적요_pre,적요길이,적요반대_pre
65719,65719,지급,타행자동이체-전자금융부,삼성-신진욱, - , - ,개인거래,개인간거래,,,,,,,,,,,,,,삼성-신진욱,5,욱진신-성삼
65723,65723,지급,타행자동이체-전자금융부,삼성-오환규, - , - ,개인거래,개인간거래,,,,,,,,,,,,,,삼성-오환규,5,규환오-성삼
65726,65726,지급,타행자동이체-전자금융부,삼성-유일한, - , - ,개인거래,개인간거래,,,,,,,,,,,,,,삼성-유일한,5,한일유-성삼
65727,65727,지급,타행자동이체-전자금융부,삼성-이상경, - , - ,개인거래,개인간거래,,,,,,,,,,,,,,삼성-이상경,5,경상이-성삼
65728,65728,지급,타행자동이체-전자금융부,삼성-이재영, - , - ,개인거래,개인간거래,,,,,,,,,,,,,,삼성-이재영,5,영재이-성삼
65729,65729,지급,타행자동이체-전자금융부,삼성-이화령, - , - ,개인거래,개인간거래,,,,,,,,,,,,,,삼성-이화령,5,령화이-성삼
65730,65730,지급,타행자동이체-전자금융부,삼성-임상혁, - , - ,개인거래,개인간거래,,,,,,,,,,,,,,삼성-임상혁,5,혁상임-성삼
65731,65731,지급,타행자동이체-전자금융부,삼성-임장미, - , - ,개인거래,개인간거래,,,,,,,,,,,,,,삼성-임장미,5,미장임-성삼
65732,65732,지급,타행자동이체-전자금융부,삼성-전인석, - , - ,개인거래,개인간거래,,,,,,,,,,,,,,삼성-전인석,5,석인전-성삼
65733,65733,지급,타행자동이체-전자금융부,삼성-정보람, - , - ,개인거래,개인간거래,,,,,,,,,,,,,,삼성-정보람,5,람보정-성삼
65734,65734,지급,타행자동이체-전자금융부,삼성-지은영, - , - ,개인거래,개인간거래,,,,,,,,,,,,,,삼성-지은영,5,영은지-성삼
65735,65735,지급,타행자동이체-전자금융부,삼성-최고은, - , - ,개인거래,개인간거래,,,,,,,,,,,,,,삼성-최고은,5,은고최-성삼
65736,65736,지급,타행자동이체-전자금융부,삼성-최중용, - , - ,개인거래,개인간거래,,,,,,,,,,,,,,삼성-최중용,5,용중최-성삼
65764,65764,지급,전자뱅킹예약건별이체,삼성김명신,"9,000,000","9,000,000",개인거래,개인간거래,,,,,,,,,,,,,,삼성김명신,5,신명김성삼
